clean_tweet	airline_sentiment
virginamerica plus added commercials experience tacky	positive
virginamerica really aggressive blast obnoxious entertainment guests faces amp little recourse	negative
virginamerica really big bad thing	negative
virginamerica seriously would pay flight seats playing really bad thing flying va	negative
virginamerica yes nearly every time fly vx ear worm go away	positive
virginamerica well	positive
virginamerica amazing arrived hour early good	positive
virginamerica lt pretty graphics much better minimal iconography	positive
virginamerica great deal already thinking nd trip australia amp even gone st trip yet p	positive
virginamerica virginmedia flying fabulous seductive skies u take stress away travel http co ahlxhhkiyn	positive
virginamerica thanks	positive
virginamerica sfo pdx schedule still mia	negative
virginamerica excited first cross country flight lax mco heard nothing great things virgin america daystogo	positive
virginamerica flew nyc sfo last week fully sit seat due two large gentleman either side help	negative
flying virginamerica	positive
virginamerica know would amazingly awesome bos fll please want fly	positive
virginamerica first fares may three times carriers seats available select	negative
virginamerica love graphic http co ut grrwaaa	positive
virginamerica love hipster innovation feel good brand	positive
virginamerica guys messed seating reserved seating friends guys gave seat away want free internet	negative
virginamerica status match program applied three weeks called emailed response	negative
virginamerica happened ur vegan food options least say ur site know able eat anything next hrs fail	negative
virginamerica amazing get cold air vents vx noair worstflightever roasted sfotobos	negative
virginamerica hi bked cool birthday trip add elevate cause entered middle name flight booking problems	negative
virginamerica help left expensive headphones flight iad lax today seat one answering l amp f number lax	negative
virginamerica awaiting return phone call would prefer use online self service option	negative
virginamerica great news america could start flights hawaii end year http co r p zy fe via pacificbiznews	positive
virginamerica moodlighting way fly best experience ever cool calming moodlitmonday	positive
virginamerica freddieawards done done best airline around hands	positive
virginamerica chat support working site http co vhp gtdwpk	negative
virginamerica view downtown los angeles hollywood sign beyond rain mountains http co dw nf ibtr	positive
virginamerica hey first time flyer next week excited hard time getting flights added elevate account help	negative
virginamerica elevategold good reason rock	positive
virginamerica wow blew mind	positive
virginamerica ladygaga carrieunderwood julie andrews way though ladygaga impressive carrieunderwood	positive
virginamerica hi excited lga gt dal deal trying book since last week amp page never loads thx	negative
virginamerica know need spotify stat guiltypleasures	positive
virginamerica ladygaga carrieunderwood lady gaga amazing	positive
virginamerica called weeks ago adding flights elevate still shown help	negative
virginamerica ladygaga carrieunderwood love three really beat classics	positive
virginamerica heyyyy guyyyys trying get hour someone call please	negative
virginamerica hi virgin hold minutes earlier flights la nyc tonight earlier pm	negative
virginamerica congrats winning travelzoo award best deals airline us http co kj iljaebv	positive
virginamerica everything fine lost bag	negative
virginamerica airline awesome lax loft needs step game dirty tables floors http co hy vrfhjht	negative
virginamerica worried great ride new plane great crew airlines like	positive
virginamerica awesome flew yall sat morning way correct bill	positive
virginamerica going customer service anyway speak human asap thank	negative
virginamerica supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness	negative
virginamerica applied member inflight crew team im interested flightattendant dreampath g	positive
virginamerica best whenever begrudgingly use airline delayed late flight	negative
virginamerica interesting flying cancelled flight next four flights planned neverflyvirginforbusiness	negative
virginamerica disappointing experience shared every business traveler meet neverflyvirgin	negative
virginamerica trouble adding flight wife booked elevate account help http co px hqoks r	negative
virginamerica site back	negative
virginamerica like tv interesting video disappointed cancelled flightled flight flights went jfk saturday	negative
virginamerica landed lax hour late flight bag check business travel friendly nomorevirgin	negative
virginamerica website btw new website great user experience time another redesign	negative
virginamerica check add bag website working tried desktop mobile http co avyqdmpi	negative
virginamerica let scanned passengers leave plane told someone remove bag st class bin uncomfortable	negative
virginamerica phone number find call flight reservation	negative
virginamerica anyone anything today website useless one answering phone	negative
virginamerica must traveler miss flight late flight check bag missed morning appointments lost business sfo lax	negative
virginamerica direct flight fll gt sfo unexpected layover vegas fuel yet peeps next bought vegas flight sneaky	negative
virginamerica late flight bag check lost business missed flight apt three people flight exp	negative
virginamerica amazing customer service raeann sf best customerservice virginamerica flying	positive
virginamerica called service line hung awesome sarcasm	negative
virginamerica site tripping trying check getting plain text version reluctant enter card info	negative
virginamerica getaway deals may one way lots cool cities http co tzzjhuibch cheapflights farecompare	positive
virginamerica getaway deals may one way lots cool cities http co b xi yg cheapflights farecompare	positive
virginamerica great week	positive
virginamerica come back phl already need take us horrible cold pleasecomeback http co glxfwp nqh	positive
virginamerica concerned fly plane needs delayed due tech stop	negative
virginamerica best airline flown easy change reservation helpful representatives amp comfortable flying experience	positive
virginamerica another rep kicked butt naelah represents team beautifully thank	positive
virginamerica beautiful front end design right cool still book ticket b c back end secure	positive
virginamerica love team running gate e las tonight waited delayed flight kept things entertaining	positive
